mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5979283332824707,0.021922412706390264,0.04405975341796875,0.0009678269486992779,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8158756137479541,0.8089198036006546,0.8010642652476463,0.8018829308227589,0.8059762586983218,0.8067437744234672,0.00537771880643352,73
1.1832405090332032,0.012696703070770683,0.08275303840637208,0.0007700985887559473,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8166939443535188,0.8191489361702128,0.8100695865738846,0.8080229226361032,0.8190749079001228,0.8146020595267685,0.004666578944041188,66
1.7625775814056397,0.04126375737126475,0.12309894561767579,0.0020505826036873493,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8211947626841244,0.820785597381342,0.8104789193614409,0.812116250511666,0.820712239050348,0.8170575537977843,0.004734267416145191,60
0.5855328559875488,0.011372076111355139,0.04308924674987793,0.0005459003017613676,5,1,4,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.8171031096563012,0.8064648117839607,0.7969709373720835,0.8010642652476463,0.8076135898485469,0.8058433427817077,0.006809721114669917,76
1.1563826084136963,0.006152076463484738,0.08268790245056153,0.000906335707237697,5,1,4,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.8183306055646481,0.8183306055646481,0.8137535816618912,0.8051575931232091,0.8203029062627917,0.8151750584354376,0.005451238138428187,64
1.7294939517974854,0.010350301325864201,0.12151694297790527,0.0006200289566690633,5,1,4,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.8191489361702128,0.8211947626841244,0.8129349160867786,0.8108882521489972,0.8198935734752354,0.8168120881130697,0.0041058139930074174,63
0.5845727920532227,0.005621616003564162,0.04325985908508301,0.000665404547662257,5,1,6,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.8154664484451718,0.8060556464811784,0.7945149406467458,0.8014735980352026,0.8067949242734344,0.8048611115763465,0.006872528154667596,81
1.1520188331604004,0.0027451210697811727,0.08227272033691406,0.00092921817980651,5,1,6,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.8158756137479541,0.8203764320785597,0.8125255832992223,0.8043389275480965,0.8190749079001228,0.8144382929147911,0.0057355248288436245,67
1.729730224609375,0.0064416121949133695,0.1221311092376709,0.0005930882095207531,5,1,6,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",0.8220130932896891,0.8220130932896891,0.8133442488743349,0.8108882521489972,0.8215309046254605,0.8179579184456343,0.004835726310118877,55
0.5817087173461915,0.0031562015624079947,0.043445587158203125,0.0007394682508548192,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8146481178396072,0.8089198036006546,0.7957429390094146,0.8022922636103151,0.8096602537863283,0.8062526755692639,0.0065627439017216975,74
1.1586730003356933,0.012081347732554513,0.08263545036315918,0.0008501418473664475,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8154664484451718,0.8175122749590835,0.8125255832992223,0.8051575931232091,0.8211215718379042,0.8143566943329181,0.005383850696658551,68
1.7271517753601073,0.013030564338340843,0.1213796615600586,0.0012902749642509015,5,2,2,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8195581014729951,0.823240589198036,0.8125255832992223,0.8096602537863283,0.8198935734752354,0.8169756202463635,0.005054718816566125,61
0.5773498058319092,0.0031306726122177194,0.043065357208251956,0.0017440580645077268,5,2,4,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.8146481178396072,0.8089198036006546,0.7957429390094146,0.8022922636103151,0.8096602537863283,0.8062526755692639,0.0065627439017216975,74
1.1558052539825439,0.003391372554412928,0.08197560310363769,0.000240299321775741,5,2,4,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8154664484451718,0.8175122749590835,0.8125255832992223,0.8051575931232091,0.8211215718379042,0.8143566943329181,0.005383850696658551,68
1.7326220989227294,0.006355817215233279,0.12282810211181641,0.0014103501999591188,5,2,4,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.8195581014729951,0.823240589198036,0.8125255832992223,0.8096602537863283,0.8198935734752354,0.8169756202463635,0.005054718816566125,61
0.5759312629699707,0.001657888168331669,0.04268813133239746,0.0006525602660692352,5,2,6,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 100}",0.8162847790507365,0.8089198036006546,0.7908309455587392,0.8014735980352026,0.8088415882112158,0.8052701428913098,0.008605830897064045,77
