mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06600112915039062,0.003818299209467977,0.005169057846069336,0.00045631070315948563,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7998170868243394,0.7832273316459114,0.784043989852408,0.7951149131115605,0.7851759530061283,0.7894758548880695,0.006719797798675237,24
0.06408510208129883,0.0015589825842784342,0.005201387405395508,0.00043610540583661464,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7998170868243394,0.7832273316459114,0.784043989852408,0.7951149131115605,0.7851759530061283,0.7894758548880695,0.006719797798675237,24
0.06517295837402344,0.001756356794969191,0.005451202392578125,0.000587118015548484,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7998170868243394,0.7832273316459114,0.7845140546639477,0.7950737799605357,0.7846373407825705,0.7894539187754609,0.006713421780768577,26
0.06557641029357911,0.0014750884587545674,0.005461740493774414,0.0003537385340005654,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7951149131115605,0.7851759530061283,0.7894977063487821,0.006716093191715974,22
0.06345853805541993,0.0009552469233541088,0.0048694610595703125,0.00014083012315512192,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7951149131115605,0.7851759530061283,0.7894977063487821,0.006716093191715974,22
0.06366815567016601,0.00048815160665667816,0.005081081390380859,0.00019193193772763716,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7950737799605357,0.7846373407825705,0.7893817572738656,0.006781555934290692,27
0.0639845848083496,0.0012584888001189985,0.005290079116821289,0.0003309106754978714,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7947197678251356,0.7851759530061283,0.7897145962677568,0.007123727295927114,20
0.06637229919433593,0.0016908347812467518,0.0054283618927001955,0.0003667491072814423,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7947197678251356,0.7851759530061283,0.7897145962677568,0.007123727295927114,20
0.06304216384887695,0.0007528402546767694,0.004862642288208008,0.00020683328281295525,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7950737799605357,0.7851155633797502,0.7897733207695612,0.007182494531580494,19
0.10385890007019043,0.0012803677361934768,0.005334281921386718,0.00019656084838788753,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9128534694216089,0.8962421763470368,0.9081153582658232,0.9181346333623387,0.8968679150279867,0.9064427104849588,0.008675531638522619,13
