mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_init,param_max_iter,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05355339050292969,0.07781959943198365,0.001436328887939453,0.0003061851409225369,k-means++,100,2,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",-32690.12058803754,-70317.71912302593,-114320.93531717602,-7924831.880967814,-66435.13470607852,-1641719.158140426,3141663.492468894,19
0.026678037643432618,0.0071437951242314035,0.0053103923797607425,0.007438400861015906,k-means++,100,3,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",-11486.706372924426,-22509.890937029624,-30950.51827124707,-7650157.765158824,-14514.628932574127,-1545923.9019345199,3052124.4249737,16
0.014775609970092774,0.0029066598585296725,0.0011803150177001954,3.775141193029952e-05,k-means++,100,4,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",-2194.377483291466,-9666.98534007892,-9124.976295300334,-7470497.468542577,-7045.916016071992,-1499705.944735464,2985396.9250385985,7
0.020792007446289062,0.008744033381111682,0.0012600421905517578,0.00014328357569761134,k-means++,100,5,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 5}",-2163.5512641445525,-5634.023939768324,-7093.913871137548,-7454692.475440861,-4244.229760744778,-1494765.638855331,2979963.861799728,4
0.012901592254638671,0.004205643101447583,0.0013205051422119141,0.00025149029125863304,k-means++,200,2,"{'init': 'k-means++', 'max_iter': 200, 'n_clusters': 2}",-32690.120588037535,-70317.71912302595,-114320.93531717603,-7924831.8809678145,-66435.13470607852,-1641719.1581404265,3141663.492468894,20
0.017145061492919923,0.004371113139633579,0.001208019256591797,4.622084675421403e-05,k-means++,200,3,"{'init': 'k-means++', 'max_iter': 200, 'n_clusters': 3}",-11486.706372924422,-22509.890937029624,-30950.51827124707,-7650157.765158825,-14514.628932574127,-1545923.9019345199,3052124.4249737007,16
0.024135494232177736,0.009201088160394163,0.0013080596923828124,0.00012005492682115098,k-means++,200,4,"{'init': 'k-means++', 'max_iter': 200, 'n_clusters': 4}",-2194.3774832914655,-9666.98534007892,-9124.976295300334,-7470497.468542577,-7045.916016071993,-1499705.944735464,2985396.9250385985,7
0.027544355392456053,0.00881205513121272,0.0013311386108398437,0.00012891373485045282,k-means++,200,5,"{'init': 'k-means++', 'max_iter': 200, 'n_clusters': 5}",-2163.5512641445525,-5634.023939768325,-7093.913871137551,-7454692.475440861,-4244.229760744778,-1494765.638855331,2979963.861799728,4
0.012017393112182617,0.004553966825044401,0.0011921405792236328,7.179422787155162e-05,k-means++,300,2,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",-32690.12058803756,-70317.71912302595,-114320.93531717602,-7924831.8809678145,-66435.13470607852,-1641719.1581404265,3141663.492468894,20
0.016782474517822266,0.0075170184768429005,0.0012621879577636719,0.00015977211538680317,k-means++,300,3,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",-11486.706372924426,-22509.890937029635,-30950.51827124707,-7650157.765158825,-14514.628932574127,-1545923.9019345199,3052124.4249737007,16
0.022232770919799805,0.009283801906732435,0.0014037132263183595,0.0001301482103414306,k-means++,300,4,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",-2194.3774832914664,-9666.98534007892,-9124.976295300334,-7470497.468542577,-7045.916016071991,-1499705.944735464,2985396.9250385985,7
0.020815515518188478,0.005176387283667683,0.004984235763549805,0.007507594636034049,k-means++,300,5,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 5}",-2163.551264144552,-5634.023939768324,-7093.913871137551,-7454692.475440861,-4244.229760744778,-1494765.638855331,2979963.861799728,4
0.010252904891967774,0.0021176886664170187,0.0011930465698242188,6.25829469292346e-05,random,100,2,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",-32690.120588037535,-70317.71912302593,-114320.93531717602,-7924831.8809678145,-66435.13470607852,-1641719.1581404265,3141663.492468894,20
0.011544609069824218,0.001902072712116455,0.0011897087097167969,2.291598221337433e-05,random,100,3,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",-11486.706372924422,-20840.648150441775,-30950.51827124707,-7650157.765158825,-14514.628932574125,-1545590.0533772022,3052291.128067573,13
0.013361358642578125,0.0038824270896149413,0.0012020587921142579,1.056320772715427e-05,random,100,4,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",-2110.677089241479,-9424.166491641387,-10455.101915932302,-7470497.468542577,-7045.916016071993,-1499906.6660110927,2985296.789859893,10
0.014841032028198243,0.0035043569924846575,0.0012149810791015625,8.509906910693525e-06,random,100,5,"{'init': 'random', 'max_iter': 100, 'n_clusters': 5}",-1273.0064762929137,-5694.245344826722,-6076.178142466697,-7454692.475440861,-4263.411713974079,-1494399.8634236841,2980146.7845053123,1
0.010404014587402343,0.0029918629387760557,0.0012076377868652343,1.7670918579213936e-05,random,200,2,"{'init': 'random', 'max_iter': 200, 'n_clusters': 2}",-32690.120588037542,-70317.71912302595,-114320.93531717602,-7924831.8809678145,-66435.13470607852,-1641719.1581404265,3141663.492468894,20
0.010555458068847657,0.0007458383350126968,0.001199626922607422,3.62071720182069e-05,random,200,3,"{'init': 'random', 'max_iter': 200, 'n_clusters': 3}",-11486.706372924426,-20840.648150441775,-30950.51827124707,-7650157.765158825,-14514.628932574127,-1545590.0533772022,3052291.128067573,13
