mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.06089851856231689,0.0038047437428393224,0.002414965629577637,0.0001363982439127633,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7978723404255319,0.8027823240589198,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7815057283142389,0.7837837837837838,0.7854217854217854,0.782964782964783,0.78464420379314,0.00862840192418731,23
0.062140607833862306,0.002403848700203296,0.0025081872940063477,0.00013621717262352406,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7986906710310966,0.8036006546644845,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7806873977086743,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7846441367717965,0.008957521040948567,24
0.06233301162719727,0.003085991796129466,0.0026894330978393553,0.00040452503642308583,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7986906710310966,0.8036006546644845,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7815057283142389,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7847259698323528,0.008924677524287333,21
0.06196682453155518,0.0029690690989263254,0.0025029420852661134,0.000144551690207309,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7978723404255319,0.8036006546644845,0.779050736497545,0.7839607201309329,0.776595744680851,0.7733224222585925,0.7806873977086743,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7846441367717965,0.008821926619000098,24
0.05895659923553467,0.0007681595575769874,0.0023250579833984375,6.224286771303313e-05,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7978723404255319,0.8027823240589198,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7815057283142389,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7845623037112398,0.008624518559196005,27
0.060440587997436526,0.00298367007868261,0.0025032997131347657,0.0005192223106380777,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7986906710310966,0.8036006546644845,0.779050736497545,0.7839607201309329,0.776595744680851,0.7716857610474632,0.7815057283142389,0.7837837837837838,0.7854217854217854,0.782964782964783,0.7847260368536965,0.009138116338815899,20
0.05956790447235107,0.0008787940485418796,0.002349400520324707,7.526058875406928e-05,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7986906710310966,0.8027823240589198,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7806873977086743,0.7837837837837838,0.7846027846027847,0.782964782964783,0.78456230371124,0.008786063583535711,26
0.05915231704711914,0.0011410665711249495,0.002354860305786133,7.351570293786154e-05,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7986906710310966,0.8036006546644845,0.779050736497545,0.7831423895253683,0.776595744680851,0.7733224222585925,0.7815057283142389,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7847259698323528,0.008924677524287333,21
0.0590308666229248,0.0008416497410798738,0.0023450374603271483,9.113023045989375e-05,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7986906710310966,0.8027823240589198,0.779050736497545,0.7831423895253683,0.776595744680851,0.7749590834697218,0.7815057283142389,0.7837837837837838,0.7846027846027847,0.782964782964783,0.7848078028929093,0.008553134484057234,19
0.09743144512176513,0.000987070421222618,0.0024044275283813476,6.431183291592997e-05,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.911620294599018,0.9148936170212766,0.9042553191489362,0.9099836333878887,0.9099836333878887,0.9206219312602292,0.8911620294599017,0.9074529074529074,0.9123669123669124,0.9090909090909091,0.9091431187175868,0.007299611217546655,1
0.09700839519500733,0.0009543962133554373,0.002358698844909668,6.552265266461627e-05,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9108019639934534,0.9148936170212766,0.9058919803600655,0.911620294599018,0.9099836333878887,0.9198036006546645,0.8919803600654664,0.9066339066339066,0.9115479115479116,0.9082719082719083,0.9091429176535559,0.006886777947807231,2
0.09690291881561279,0.0009227889514645289,0.0023811817169189452,4.773199498341548e-05,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9091653027823241,0.9108019639934534,0.9042553191489362,0.911620294599018,0.9099836333878887,0.9189852700490998,0.8911620294599017,0.9074529074529074,0.9099099099099099,0.9058149058149059,0.9079151536598344,0.0067313893479423025,8
