mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05461630821228027,0.0031443646728475908,0.002750396728515625,0.00018822780657511148,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7978723404255319,0.7806873977086743,0.7769136307818256,0.7777322963569382,0.7805976258698322,0.7827606582285604,0.0077047025908252,24
0.05378289222717285,0.0014418197260682403,0.0028806209564208986,0.00032548302953099207,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7978723404255319,0.7806873977086743,0.7769136307818256,0.7777322963569382,0.7805976258698322,0.7827606582285604,0.0077047025908252,24
0.056123781204223636,0.0018972007531846218,0.0029425621032714844,0.00021977284435769484,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7974631751227496,0.7806873977086743,0.7769136307818256,0.7777322963569382,0.7810069586573885,0.7827606917255153,0.00752343043381685,23
0.05644445419311524,0.0007089356849281537,0.0030672550201416016,0.00027777207218404723,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7970540098199672,0.780278232405892,0.7769136307818256,0.7781416291444945,0.7814162914449447,0.7827607587194247,0.007318371667541029,22
0.05332880020141602,0.0007484382992302757,0.002801942825317383,2.850927980827287e-05,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7970540098199672,0.780278232405892,0.7765042979942693,0.7781416291444945,0.7814162914449447,0.7826788921619136,0.007385305739668502,26
0.0524749755859375,0.0006780198006026721,0.0026914119720458985,4.761920379687522e-05,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7974631751227496,0.780278232405892,0.7769136307818256,0.7781416291444945,0.7814162914449447,0.7828425917799813,0.007478279977988682,20
0.05240225791931152,0.0007916576960989334,0.002793741226196289,0.0002900159660599323,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7974631751227496,0.7806873977086743,0.7769136307818256,0.7777322963569382,0.7814162914449447,0.7828425582830265,0.007506108835293703,21
0.052042675018310544,0.000411579567200992,0.0026353836059570313,4.4458154801042455e-05,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7974631751227496,0.780278232405892,0.7760949652067131,0.7781416291444945,0.7810069586573885,0.7825969921074476,0.0076293494259975754,27
0.05242710113525391,0.0008542434535786482,0.0026482582092285157,6.334285856664849e-05,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7978723404255319,0.7806873977086743,0.7769136307818256,0.7781416291444945,0.7814162914449447,0.7830062579010942,0.0076117045883434785,19
0.08566074371337891,0.0011879426752666581,0.0027373790740966796,6.442819985105326e-05,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.911620294599018,0.9124386252045826,0.9103561195251739,0.9025787965616046,0.9095374539500614,0.9093062579680883,0.003509441205673713,1
0.08449511528015137,0.0005608856214035174,0.002695322036743164,6.60905590239802e-05,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9124386252045826,0.9091653027823241,0.9103561195251739,0.9042161277118297,0.9070814572247237,0.9086515264897267,0.002816011363161422,3
0.08495726585388183,0.0007596810258041336,0.0027496337890625,6.81719394924991e-05,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9132569558101473,0.9095744680851063,0.9087187883749488,0.9042161277118297,0.9054441260744985,0.9082420932113061,0.0031996351751492087,4
0.08516039848327636,0.0005406053162795572,0.002764463424682617,5.0294002272347224e-05,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9108019639934534,0.9120294599018003,0.9079001227998362,0.9005321326238231,0.9066721244371674,0.907587160751216,0.004019393989341935,7
0.08505458831787109,0.0007790642686709604,0.0027427196502685545,5.721080221706288e-05,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9108019639934534,0.9087561374795418,0.9083094555873925,0.9005321326238231,0.9070814572247237,0.9070962293817869,0.0034942028045205887,11
0.08523130416870117,0.0009185040778354024,0.00283665657043457,0.00014290240820280978,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.911620294599018,0.9091653027823241,0.9083094555873925,0.901760130986492,0.9058534588620548,0.9073417285634562,0.0033447637901807617,9
0.08443741798400879,0.0012175624125955597,0.0027501583099365234,4.947469886971548e-05,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9063011456628478,0.911620294599018,0.9107654523127302,0.9009414654113794,0.904625460499386,0.9068507636970722,0.003955934087333802,14
