mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06644611358642578,0.006001373587911629,0.005087137222290039,0.0002572603861197376,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7998170868243394,0.7832273316459114,0.784043989852408,0.7951149131115605,0.7851759530061283,0.7894758548880695,0.006719797798675237,42
0.06492862701416016,0.0016841259333848634,0.0054718017578125,0.0006033677894056771,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7998170868243394,0.7832273316459114,0.784043989852408,0.7951149131115605,0.7851759530061283,0.7894758548880695,0.006719797798675237,42
0.06425824165344238,0.0020427487621088964,0.004995155334472656,0.0002237008435708821,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7998170868243394,0.7832273316459114,0.7845140546639477,0.7950737799605357,0.7846373407825705,0.7894539187754609,0.006713421780768577,44
0.06331868171691894,0.0009384189122030418,0.0049420356750488285,0.00016625196778045253,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7951149131115605,0.7851759530061283,0.7894977063487821,0.006716093191715974,40
0.0625680923461914,0.00022137693898011715,0.0047515869140625,7.157683125315426e-05,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7951149131115605,0.7851759530061283,0.7894977063487821,0.006716093191715974,40
0.06306486129760742,0.0004465600073260556,0.004931020736694336,0.00018517118734944217,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7998170868243394,0.7828665241379346,0.7845140546639477,0.7950737799605357,0.7846373407825705,0.7893817572738656,0.006781555934290692,45
0.0632789134979248,0.0009237034243954506,0.004922914505004883,0.00022881533729609524,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7947197678251356,0.7851759530061283,0.7897145962677568,0.007123727295927114,38
0.06259894371032715,0.000265978552951279,0.004757452011108399,6.244298654200711e-05,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7947197678251356,0.7851759530061283,0.7897145962677568,0.007123727295927114,38
0.06294770240783691,0.00042438719781063986,0.004881143569946289,0.00012340468269353143,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8012966817056375,0.7828665241379346,0.7845140546639477,0.7950737799605357,0.7851155633797502,0.7897733207695612,0.007182494531580494,37
0.10170569419860839,0.0009213805549552626,0.005006265640258789,0.00015648407964661735,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9128534694216089,0.8962421763470368,0.9081153582658232,0.9181346333623387,0.8968679150279867,0.9064427104849588,0.008675531638522619,31
0.10154638290405274,0.0008727199664835796,0.004988574981689453,0.00012317273292563656,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9133445598582751,0.8973533075163839,0.9097563994360657,0.9185552452854253,0.8985065020371042,0.907503202826651,0.008310318758605429,28
0.10115928649902343,0.000781024133267088,0.005279827117919922,0.000617570751969583,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9125898366369999,0.897382977040288,0.9061166717097192,0.9193225776809332,0.8963821660210138,0.9063588458177907,0.008798211168021689,32
0.10102243423461914,0.001200353065442562,0.004972267150878906,0.00015237543096848868,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9106584504164975,0.8936025324278755,0.9085096907072651,0.9207092428383286,0.8997691541376316,0.9066498141055195,0.009324922338656018,29
0.1015294075012207,0.0011710782426741478,0.005179548263549804,0.00038183524382363903,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9103383925162006,0.8960895532859513,0.9086377797042268,0.9206851059809589,0.8969462491616,0.9065394161297874,0.009166944731753347,30
0.10110487937927246,0.0012163731270977917,0.004932975769042969,9.784782141612304e-05,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9064479010162416,0.8943862072305623,0.9052637021381932,0.9189643151531478,0.897694011673102,0.9045512274422494,0.008511064941701976,33
0.10189399719238282,0.0016406352729547583,0.005007791519165039,0.00013407338159904437,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9055344412073635,0.8961444115516048,0.9032319789200103,0.9196207217905581,0.8970928045157956,0.9043248715970664,0.0084361511011936,34
